momento de captura,rango de edad,industria,salario anual,compensaciones extra anuales,moneda,otra moneda,pais,estado us,ciudad,experiencia total,experiencia especifica,nivel educativo,genero,etnia
27/04/2021 11:03:53,25-34,Nonprofits,50000,,USD,,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:03:54,35-44,Education (Higher Education),68000,0.0,USD,,USA,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman,White
27/04/2021 11:03:55,18-24,Media & Digital,41000,100.0,USD,,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:03:56,25-34,"Accounting, Banking & Finance",76000,10000.0,USD,,United States,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:03:57,35-44,Government and Public Administration,78000,0.0,USD,,USA,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman,White
27/04/2021 11:03:58,25-34,"Accounting, Banking & Finance",37000,0.0,USD,,USA,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:04:01,45-54,Engineering or Manufacturing,100000,50000.0,USD,,USA,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White
27/04/2021 11:04:01,35-44,"Marketing, Advertising & PR",35000,6000.0,GBP,,UK,,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 11:04:01,25-34,Government and Public Administration,65000,0.0,USD,,USA,Virginia,Richmond,5-7 years,5-7 years,College degree,Man,White
27/04/2021 11:04:03,25-34,Computing or Tech,187500,5000.0,USD,,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman,White
27/04/2021 11:04:03,25-34,Computing or Tech,110000,20000.0,USD,,USA,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,White
27/04/2021 11:04:04,25-34,Nonprofits,66625,1500.0,USD,,US,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
27/04/2021 11:04:06,35-44,Computing or Tech,144600,2500.0,USD,,USA,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman,White
27/04/2021 11:04:09,35-44,Computing or Tech,200850,40000.0,USD,,USA,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 11:04:09,25-34,Engineering or Manufacturing,120000,1500.0,CAD,,Canada,,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,White
27/04/2021 11:04:10,25-34,Retail,97500,10000.0,CAD,,Canada,,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,White
27/04/2021 11:04:10,35-44,Education (Higher Education),96000,,USD,,United States,California,Berkeley,5-7 years,5-7 years,PhD,Woman,White
27/04/2021 11:04:11,25-34,Education (Primary/Secondary),53000,1000.0,USD,,United States,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman,White
27/04/2021 11:04:15,25-34,"Marketing, Advertising & PR",95000,10000.0,USD,,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
27/04/2021 11:04:19,35-44,Computing or Tech,72000,3000.0,USD,,United States,Michigan,Troy,11 - 20 years,5-7 years,Master's degree,Woman,White
27/04/2021 11:04:21,35-44,Media & Digital,52000,0.0,CAD,,Canada,,Toronto,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
27/04/2021 11:04:22,35-44,Engineering or Manufacturing,106000,0.0,USD,,United States,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:04:24,25-34,Government and Public Administration,115000,,USD,,United States,District of Columbia,DC,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
27/04/2021 11:04:26,25-34,Business or Consulting,100500,3000.0,USD,,US,District of Columbia,Washington,11 - 20 years,5-7 years,College degree,Woman,White
27/04/2021 11:04:27,25-34,Law,33200,0.0,USD,,US,New Jersey,Linden,8 - 10 years,2 - 4 years,Some college,Woman,White
27/04/2021 11:04:27,35-44,Government and Public Administration,52000,0.0,GBP,,United Kingdom,,Bristol,11 - 20 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:04:27,25-34,Education (Higher Education),52000,,USD,,United States,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,White
27/04/2021 11:04:29,25-34,Government and Public Administration,79000,,CAD,,Canada,,Nova Scotia,8 - 10 years,5-7 years,Master's degree,Woman,White
27/04/2021 11:04:29,65 or over,Property or Construction,104000,25000.0,USD,,USA,Georgia,Atlanta,41 years or more,21 - 30 years,College degree,Man,White
27/04/2021 11:04:31,25-34,Education (Primary/Secondary),75000,,CAD,,Canada,,Ottawa,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
27/04/2021 11:04:31,18-24,Biotechnology,52000,,USD,,United States,Texas,Bryan,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:04:32,25-34,Education (Higher Education),70000,0.0,USD,,USA,Rhode Island,Providence,5-7 years,2 - 4 years,Master's degree,Non-binary,White
27/04/2021 11:04:34,25-34,Nonprofits,84000,8400.0,USD,,United States,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree,Woman,White
27/04/2021 11:04:34,35-44,Health care,53000,0.0,USD,,United States,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:04:36,25-34,Computing or Tech,34000,2000.0,USD,,United States,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,White
27/04/2021 11:04:37,25-34,Nonprofits,38000,,USD,,US,Colorado,Denver,5-7 years,2 - 4 years,Master's degree,Woman,White
27/04/2021 11:04:38,25-34,Government and Public Administration,87000,0.0,USD,,United States,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man,White
27/04/2021 11:04:39,35-44,Aerospace contracting,122000,3600.0,USD,,United States,,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:04:39,25-34,Insurance,45000,2000.0,GBP,,UK,,Southampton,5-7 years,2 - 4 years,Master's degree,Woman,White
27/04/2021 11:04:40,25-34,Engineering or Manufacturing,45000,,USD,,United States,South Carolina,Columbia,5-7 years,5-7 years,Some college,Woman,White
27/04/2021 11:04:41,35-44,Computing or Tech,88000,,USD,,USA,Maryland,prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
27/04/2021 11:04:43,35-44,Nonprofits,71000,0.0,USD,,US,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 11:04:43,45-54,Education (Higher Education),71000,,USD,,USA,Illinois,Champaign,11 - 20 years,11 - 20 years,PhD,Woman,White
27/04/2021 11:04:45,35-44,Education (Primary/Secondary),75000,0.0,USD,,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:04:48,35-44,Education (Higher Education),80000,0.0,USD,,USA,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:04:48,35-44,Computing or Tech,125000,,USD,,US,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 11:04:50,35-44,Education (Higher Education),65000,,USD,,United States,Pennsylvania,-----,11 - 20 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:04:51,45-54,Education (Primary/Secondary),36000,,GBP,,Scotland ,,Edinburgh,21 - 30 years,21 - 30 years,College degree,Woman,White
27/04/2021 11:04:54,25-34,Nonprofits,55000,,USD,,U.S.,Minnesota,St. Paul,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:04:54,25-34,Art & Design,90000,1000.0,USD,,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,White
27/04/2021 11:04:58,35-44,Engineering or Manufacturing,105000,13000.0,USD,,United States ,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman,White
27/04/2021 11:05:01,35-44,Nonprofits,60000,0.0,CAD,,Canada,,"Kitchener, Ontario",11 - 20 years,11 - 20 years,High School,Man,White
27/04/2021 11:05:01,35-44,Education (Higher Education),65000,0.0,USD,,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 11:05:01,25-34,Business or Consulting,85000,8500.0,USD,,USA,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,White
27/04/2021 11:05:01,25-34,Sales,39520,,USD,,United States ,Oregon,Portland ,8 - 10 years,2 - 4 years,Some college,Woman,White
27/04/2021 11:05:04,45-54,Computing or Tech,115000,,CAD,,Canada,,Ottawa,21 - 30 years,21 - 30 years,Master's degree,Man,White
27/04/2021 11:05:05,25-34,Energy,76000,0.0,USD,,United States ,District of Columbia,Washington,8 - 10 years,5-7 years,College degree,Woman,White
27/04/2021 11:05:05,55-64,Business or Consulting,180000,60000.0,USD,,USA,Massachusetts,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:05:06,25-34,"Accounting, Banking & Finance",90000,0.0,USD,,US,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,White
27/04/2021 11:05:07,25-34,Government and Public Administration,19300,0.0,GBP,,United Kingdom,,"Newcastle, UK",5-7 years,5-7 years,Some college,Man,White
27/04/2021 11:05:07,55-64,Business or Consulting,65000,5000.0,USD,,US,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:05:07,45-54,Computing or Tech,98166,0.0,USD,,United States,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man,White
27/04/2021 11:05:07,25-34,Education (Primary/Secondary),63500,,USD,,United States,Tennessee,Nashville,5-7 years,1 year or less,Master's degree,Woman,White
27/04/2021 11:05:07,55-64,Environmental regulation,58,,USD,,USA,Maryland,Baltimore,21 - 30 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 11:05:08,25-34,Nonprofits,47700,2000.0,USD,,USA,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:05:08,55-64,Computing or Tech,87000,8000.0,USD,,USA,Ohio,Solon,31 - 40 years,31 - 40 years,Some college,Man,White
27/04/2021 11:05:11,35-44,Media & Digital,48000,,CAD,,Canada,,Montreal,8 - 10 years,8 - 10 years,College degree,Woman,White
27/04/2021 11:05:13,25-34,Education (Higher Education),39635,305.0,USD,,United States,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
27/04/2021 11:05:14,25-34,Government and Public Administration,53000,,USD,,United States,North Carolina,Troy,8 - 10 years,5-7 years,College degree,Man,White
27/04/2021 11:05:16,45-54,Education (Primary/Secondary),47255,0.0,USD,,United States,Indiana,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman,White
27/04/2021 11:05:17,35-44,Property or Construction,196000,10000.0,USD,,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Man,White
27/04/2021 11:05:17,45-54,Health care,34361,0.0,USD,,USA,Arizona,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
27/04/2021 11:05:17,45-54,Engineering or Manufacturing,150000,20000.0,USD,,USA,Colorado,Boulder,21 - 30 years,21 - 30 years,College degree,Woman,White
27/04/2021 11:05:17,25-34,Hospitality & Events,75000,0.0,USD,,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
27/04/2021 11:05:18,35-44,Education (Higher Education),20000,,USD,,United States,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:05:20,25-34,Computing or Tech,107220,16083.0,USD,,US,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American
27/04/2021 11:05:21,35-44,Government and Public Administration,78000,,CAD,,Canada,,Halifax,11 - 20 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
27/04/2021 11:05:22,45-54,Education (Higher Education),95000,10000.0,USD,,USA,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man,White
27/04/2021 11:05:23,45-54,Sales,42000,,USD,,USA,New Hampshire,Portsmouth,21 - 30 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:05:24,25-34,"Accounting, Banking & Finance",100000,5000.0,USD,,USA,New York,New York,5-7 years,5-7 years,Master's degree,Woman,White
27/04/2021 11:05:24,25-34,Computing or Tech,50000,,GBP,,United Kingdom,,Nottingham,5-7 years,2 - 4 years,High School,Man,White
27/04/2021 11:05:25,35-44,Education (Higher Education),119000,2500.0,USD,,USA,California,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,White
27/04/2021 11:05:26,45-54,"Accounting, Banking & Finance",66000,5000.0,GBP,,UK,,Glasgow,21 - 30 years,21 - 30 years,Master's degree,Woman,White
27/04/2021 11:05:27,35-44,Transport or Logistics,60000,3000.0,EUR,,The Netherlands,,The hague,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
27/04/2021 11:05:27,25-34,Education (Higher Education),75000,,USD,,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 11:05:28,35-44,Education (Higher Education),145000,15000.0,USD,,United States,New York,New York City,2 - 4 years,2 - 4 years,PhD,Woman,White
27/04/2021 11:05:32,25-34,"Accounting, Banking & Finance",95000,10000.0,CAD,,Canada,,Calgary,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:05:33,25-34,"Marketing, Advertising & PR",48000,2000.0,USD,,United States,Missouri,Kansas City,5-7 years,5-7 years,Master's degree,Woman,White
27/04/2021 11:05:33,45-54,"Accounting, Banking & Finance",75000,10000.0,USD,,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White
27/04/2021 11:05:33,35-44,Media & Digital,42000,0.0,USD,,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 11:05:35,35-44,Nonprofits,54000,100.0,USD,,US,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 11:05:36,35-44,Education (Higher Education),92000,,CAD,,Canada,,"London, ON CAN",5-7 years,5-7 years,PhD,Woman,White
27/04/2021 11:05:42,45-54,Government and Public Administration,50870,0.0,GBP,,United Kingdom,,Cardiff,21 - 30 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:05:42,55-64,Medical Devices,60000,500.0,USD,,USA,California,San Diego,31 - 40 years,31 - 40 years,College degree,Woman,Middle Eastern or Northern African
27/04/2021 11:05:43,55-64,Nonprofits,101500,0.0,USD,,United States,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman,White
27/04/2021 11:05:44,25-34,Academic research (Psychology),36883,150.0,USD,,USA,Massachusetts,Belmont,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:05:44,25-34,Media & Digital,85000,0.0,USD,,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 11:05:45,25-34,Education (Higher Education),62000,0.0,USD,,United States,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman,White
27/04/2021 11:05:45,35-44,Computing or Tech,130000,0.0,USD,,United States,,Philadelphia ,11 - 20 years,11 - 20 years,College degree,Man,White
27/04/2021 11:05:45,55-64,Education (Higher Education),55000,,USD,,United States,,Indianapolis,21 - 30 years,21 - 30 years,Master's degree,Woman,White
27/04/2021 11:05:47,25-34,Government and Public Administration,59015,,USD,,United States,New Jersey,Whippany,8 - 10 years,8 - 10 years,College degree,Woman,White
27/04/2021 11:05:47,25-34,Business or Consulting,71000,3000.0,USD,,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
27/04/2021 11:05:48,45-54,Social Work,53000,,USD,,USA,Wisconsin,Jefferson,21 - 30 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 11:05:48,25-34,public library,63000,0.0,USD,,USA,Virginia,Manassas,5-7 years,5-7 years,Master's degree,Woman,White
27/04/2021 11:05:49,35-44,Engineering or Manufacturing,95000,5000.0,USD,,United States,Michigan,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman,White
27/04/2021 11:05:50,35-44,Surveying ,85000,0.0,AUD/NZD,,Australia ,,Perth,11 - 20 years,8 - 10 years,Master's degree,Man,White
27/04/2021 11:05:50,35-44,Nonprofits,35000,3000.0,USD,,United States,Pennsylvania,Newtown Square,11 - 20 years,11 - 20 years,Some college,Woman,White
27/04/2021 11:05:51,18-24,Hospitality & Events,33280,500.0,USD,,United States,Florida,"Small city, remote, national company",5-7 years,2 - 4 years,College degree,Non-binary,White
27/04/2021 11:05:52,35-44,"Accounting, Banking & Finance",56000,2500.0,USD,,USA,Tennessee,Memphis,11 - 20 years,8 - 10 years,Some college,Woman,White
27/04/2021 11:05:52,35-44,Education (Higher Education),85000,,USD,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 11:05:52,35-44,Education (Higher Education),62000,0.0,USD,,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 11:05:52,25-34,Law,74000,,USD,,United States,Michigan,Grand Rapids,8 - 10 years,2 - 4 years,Master's degree,Non-binary,White
27/04/2021 11:05:52,25-34,Nonprofits,63000,1000.0,USD,,United States,District of Columbia,DC,5-7 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:05:53,25-34,Recruitment or HR,45000,10000.0,GBP,,United Kingdom,,London,11 - 20 years,8 - 10 years,College degree,Woman,White
27/04/2021 11:05:54,25-34,Education (Higher Education),18000,0.0,EUR,,Spain,,,8 - 10 years,5-7 years,College degree,Woman,White
27/04/2021 11:05:55,35-44,Nonprofits,86000,6000.0,USD,,United States,,New York ,11 - 20 years,8 - 10 years,College degree,Woman,White
27/04/2021 11:05:57,18-24,PhD,19000,0.0,GBP,,UK,,Cambridge,2 - 4 years,1 year or less,Master's degree,Man,White
27/04/2021 11:05:57,35-44,Education (Higher Education),42000,,USD,,USA,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Man,White
27/04/2021 11:06:00,55-64,Biopharma,114000,30000.0,USD,,US,Massachusetts,Cambridge,21 - 30 years,8 - 10 years,College degree,Man,White
27/04/2021 11:06:00,45-54,Insurance,73000,0.0,USD,,us,Colorado,Denver,31 - 40 years,31 - 40 years,High School,Woman,White
27/04/2021 11:06:00,35-44,Nonprofits,54000,0.0,GBP,,UK,,London,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 11:06:01,45-54,Health care,100000,0.0,USD,,Usa,Georgia,Gainesville,21 - 30 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:06:02,25-34,Publishing,27000,,GBP,,England,,Oxford,11 - 20 years,5-7 years,College degree,Woman,White
27/04/2021 11:06:02,18-24,Government and Public Administration,60129,3000.0,USD,,United States,District of Columbia,Washington DC,2 - 4 years,1 year or less,Master's degree,Woman,White
27/04/2021 11:06:03,45-54,STEM research,135000,0.0,USD,,US,Texas,San Antonio,11 - 20 years,11 - 20 years,PhD,Woman,White
27/04/2021 11:06:04,25-34,Computing or Tech,130000,,USD,,United States,Virginia,McLean,11 - 20 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
27/04/2021 11:06:05,25-34,Libraries,26000,,USD,,United States,Oklahoma,Ardmore,2 - 4 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African, White"
27/04/2021 11:06:05,25-34,"Accounting, Banking & Finance",60000,0.0,USD,,US,Ohio,Columbus,5-7 years,5-7 years,Master's degree,Woman,White
27/04/2021 11:06:06,35-44,Nonprofits,37000,0.0,USD,,US,Ohio,Shaker Hts,11 - 20 years,5-7 years,College degree,Woman,White
27/04/2021 11:06:06,25-34,Engineering or Manufacturing,85000,3000.0,USD,,USA,South Carolina,Charleston,5-7 years,5-7 years,College degree,Woman,White
27/04/2021 11:06:06,35-44,Media & Digital,45000,20000.0,USD,,USA,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 11:06:06,25-34,Nonprofits,92000,0.0,USD,,United States,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman,White
27/04/2021 11:06:07,25-34,Health care,35,,EUR,,finland,,helsinki,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:06:07,25-34,Engineering or Manufacturing,65000,4000.0,USD,,United States,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Man,White
27/04/2021 11:06:08,35-44,"Marketing, Advertising & PR",35000,0.0,USD,,United States of America,Indiana,Mishawaka,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 11:06:12,25-34,"Accounting, Banking & Finance",74000,1000.0,USD,,United States,Oklahoma,Tulsa,8 - 10 years,5-7 years,College degree,Woman,White
27/04/2021 11:06:12,25-34,Engineering or Manufacturing,102500,20000.0,USD,,United States,Florida,Tampa,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
27/04/2021 11:06:12,25-34,Government and Public Administration,117500,1500.0,USD,,USA,,Washington DC,8 - 10 years,5-7 years,Master's degree,,"Hispanic, Latino, or Spanish origin"
27/04/2021 11:06:12,35-44,Nonprofits,70000,,USD,,USA,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:06:12,45-54,Computing or Tech,140000,5000.0,USD,,USA,Colorado,Denver,21 - 30 years,11 - 20 years,Some college,Woman,White
27/04/2021 11:06:13,35-44,Architecture,58000,4000.0,USD,,USA,New Jersey,Lambertville,11 - 20 years,8 - 10 years,Master's degree,Woman,White
27/04/2021 11:06:14,35-44,"Marketing, Advertising & PR",400000,0.0,USD,,United States,New York,Chatham,11 - 20 years,11 - 20 years,College degree,Woman,White
27/04/2021 11:06:14,35-44,Nonprofits,61200,0.0,USD,,USA,Illinois,Skokie,11 - 20 years,11 - 20 years,Master's degree,Woman,White
27/04/2021 11:06:14,25-34,"Marketing, Advertising & PR",85000,10000.0,GBP,,United Kingdom ,,London ,8 - 10 years,8 - 10 years,College degree,Woman,White
27/04/2021 11:06:15,25-34,Recruitment or HR,66000,0.0,USD,,United States,Georgia,Alpharetta,2 - 4 years,2 - 4 years,College degree,Woman,White
27/04/2021 11:06:16,35-44,Computing or Tech,70000,0.0,USD,,USA,Texas,Austin,8 - 10 years,5-7 years,College degree,Woman,Black or African American
