"pais"¬"estado us"¬"ciudad"¬"pais_corregido"¬"ciudad_corregido"¬"Clave"
"US"¬"Ohio"¬"Columbus"¬"Estados Unidos"¬" Columbus"¬"US|Ohio|Columbus"
"US"¬"Ohio"¬"Shaker Hts"¬"Estados Unidos"¬"Shaker Hts"¬"US|Ohio|Shaker Hts"
"USA"¬"South Carolina"¬"Charleston"¬"Estados Unidos"¬"Charleston"¬"USA|South Carolina|Charleston"
"USA"¬"Texas"¬"Austin"¬"Estados Unidos"¬" Austin"¬"USA|Texas|Austin"
"finland"¬¬"helsinki"¬"Finlandia"¬" Helsinki"¬"finland||helsinki"
"United States"¬"Wisconsin"¬"Madison"¬"Estados Unidos"¬"Madison"¬"United States|Wisconsin|Madison"
"United States of America"¬"Indiana"¬"Mishawaka"¬"Estados Unidos"¬"Mishawaka"¬"United States of America|Indiana|Mishawaka"
"United States"¬"Oklahoma"¬"Tulsa"¬"Estados Unidos"¬"Tulsa"¬"United States|Oklahoma|Tulsa"
"United States"¬"Florida"¬"Tampa"¬"Estados Unidos"¬"Tampa"¬"United States|Florida|Tampa"
"USA"¬¬"Washington DC"¬"Estados Unidos"¬" Washington D.C."¬"USA||Washington DC"
"USA"¬"Colorado"¬"Denver"¬"Estados Unidos"¬" Denver"¬"USA|Colorado|Denver"
"USA"¬"New Jersey"¬"Lambertville"¬"Estados Unidos"¬"Lambertville"¬"USA|New Jersey|Lambertville"
"United States"¬"New York"¬"Chatham"¬"Estados Unidos"¬"Chatham"¬"United States|New York|Chatham"
"USA"¬"Illinois"¬"Skokie"¬"Estados Unidos"¬"Skokie"¬"USA|Illinois|Skokie"
"United Kingdom "¬¬"London "¬"Reino Unido"¬" Londres"¬"United Kingdom ||London "
"United States"¬"Georgia"¬"Alpharetta"¬"Estados Unidos"¬"Alpharetta"¬"United States|Georgia|Alpharetta"
"United States of America"¬"Florida"¬"Northeast Florida"¬"Estados Unidos"¬"Northeast Florida"¬"United States of America|Florida|Northeast Florida"
"USA"¬"District of Columbia"¬"Washington DC"¬"Estados Unidos"¬" Washington D.C."¬"USA|District of Columbia|Washington DC"
"United States"¬"New York"¬"New York City "¬"Estados Unidos"¬" Nueva York"¬"United States|New York|New York City "
"US"¬"Florida"¬"Altamonte Springs"¬"Estados Unidos"¬"Altamonte Springs"¬"US|Florida|Altamonte Springs"
"UK"¬¬"Brighton"¬"Reino Unido"¬"Brighton"¬"UK||Brighton"
"US"¬"California"¬"San Francisco"¬"Estados Unidos"¬" San Francisco"¬"US|California|San Francisco"
"US"¬"Illinois"¬"Chicago"¬"Estados Unidos"¬" Chicago"¬"US|Illinois|Chicago"
"United States of America"¬¬"Portland"¬"Estados Unidos"¬" Portland"¬"United States of America||Portland"
"United States "¬"Texas"¬"El Paso"¬"Estados Unidos"¬"El Paso"¬"United States |Texas|El Paso"
"U.S."¬"North Carolina"¬"Research Triangle region"¬"Estados Unidos"¬"Research Triangle region"¬"U.S.|North Carolina|Research Triangle region"
"France"¬¬"Lyon"¬"Francia"¬"Lyon"¬"France||Lyon"
"USA"¬"Washington"¬"Seattle"¬"Estados Unidos"¬" Seattle"¬"USA|Washington|Seattle"
"United States"¬"California"¬"San Diego"¬"Estados Unidos"¬" San Diego"¬"United States|California|San Diego"
"USA"¬"Indiana"¬"Indianapolis"¬"Estados Unidos"¬"Indianapolis"¬"USA|Indiana|Indianapolis"
"USA"¬"California"¬"Merced"¬"Estados Unidos"¬"Merced"¬"USA|California|Merced"
"UK"¬¬"Aberdeen"¬"Reino Unido"¬"Aberdeen"¬"UK||Aberdeen"
"USA"¬¬"Birmingham"¬"Estados Unidos"¬"Birmingham"¬"USA||Birmingham"
"United States"¬"Nebraska"¬"Omaha"¬"Estados Unidos"¬"Omaha"¬"United States|Nebraska|Omaha"
"US"¬"Maine"¬"Gorham/Portland"¬"Estados Unidos"¬"Gorham"¬"US|Maine|Gorham/Portland"
"US"¬"New York"¬"Westchester/NYC"¬"Estados Unidos"¬"Westchester"¬"US|New York|Westchester/NYC"
"US"¬"California"¬"San Jose"¬"Estados Unidos"¬" San José"¬"US|California|San Jose"
"United States"¬"District of Columbia"¬"Washington, DC"¬"Estados Unidos"¬" Washington D.C."¬"United States|District of Columbia|Washington, DC"
"United states"¬"Washington"¬"Seattle"¬"Estados Unidos"¬" Seattle"¬"United states|Washington|Seattle"
"United States"¬"Michigan"¬"Grandville"¬"Estados Unidos"¬"Grandville"¬"United States|Michigan|Grandville"
"USA"¬¬"New York"¬"Estados Unidos"¬" Nueva York"¬"USA||New York"
"Canada"¬¬"Remote Worker"¬"Canadá"¬"No determinada"¬"Canada||Remote Worker"
"USA"¬"Texas"¬"Houston"¬"Estados Unidos"¬" Houston"¬"USA|Texas|Houston"
"United States"¬"Wisconsin"¬"Eau Claire"¬"Estados Unidos"¬"Eau Claire"¬"United States|Wisconsin|Eau Claire"
"United states"¬"New York"¬"buffalo"¬"Estados Unidos"¬"Buffalo "¬"United states|New York|buffalo"
"USA"¬"Indiana"¬"West Lafayette"¬"Estados Unidos"¬"West Lafayette"¬"USA|Indiana|West Lafayette"
"United States"¬¬"Washington, DC"¬"Estados Unidos"¬" Washington D.C."¬"United States||Washington, DC"
"Scotland"¬¬"Glasgow"¬"Reino Unido"¬" Glasgow"¬"Scotland||Glasgow"
"USA"¬"Georgia"¬"Too identifiable"¬"Estados Unidos"¬"Too identifiable"¬"USA|Georgia|Too identifiable"
"United States"¬"Massachusetts"¬"Braintree"¬"Estados Unidos"¬"Braintree"¬"United States|Massachusetts|Braintree"
"United States"¬"Indiana"¬"Clinton"¬"Estados Unidos"¬"Clinton"¬"United States|Indiana|Clinton"
"United States "¬"New York"¬"New York "¬"Estados Unidos"¬" Nueva York"¬"United States |New York|New York "
"USA"¬"Massachusetts"¬"Woburn"¬"Estados Unidos"¬"Woburn"¬"USA|Massachusetts|Woburn"
"USA "¬"Massachusetts"¬"Boston "¬"Estados Unidos"¬" Boston"¬"USA |Massachusetts|Boston "
"United States"¬"California"¬"Anaheim"¬"Estados Unidos"¬"Anaheim"¬"United States|California|Anaheim"
"United States"¬"Florida"¬"Orlando"¬"Estados Unidos"¬"Orlando"¬"United States|Florida|Orlando"
"United States"¬"Wisconsin"¬"Appleton"¬"Estados Unidos"¬"Appleton"¬"United States|Wisconsin|Appleton"
"England"¬¬"London"¬"Reino Unido"¬" Londres"¬"England||London"
"United States"¬"Minnesota"¬"Bloomington"¬"Estados Unidos"¬"Bloomington"¬"United States|Minnesota|Bloomington"
"United states "¬"Tennessee"¬"Chattanooga"¬"Estados Unidos"¬"Chattanooga"¬"United states |Tennessee|Chattanooga"
"USA "¬"Florida"¬"Jacksonville"¬"Estados Unidos"¬"Jacksonville"¬"USA |Florida|Jacksonville"
"United States"¬"Tennessee"¬"Memphis"¬"Estados Unidos"¬"Memphis"¬"United States|Tennessee|Memphis"
"USA"¬"Pennsylvania"¬"Pittsburgh"¬"Estados Unidos"¬" Pittsburgh"¬"USA|Pennsylvania|Pittsburgh"
"United States"¬"North Carolina"¬"Durham"¬"Estados Unidos"¬"Durham"¬"United States|North Carolina|Durham"
"United States"¬"Connecticut"¬"Stamford"¬"Estados Unidos"¬"Stamford"¬"United States|Connecticut|Stamford"
"Canada"¬¬"Rural Ontario"¬"Canadá"¬"No determinada"¬"Canada||Rural Ontario"
"United States"¬"Oregon"¬"Newport"¬"Estados Unidos"¬"Newport"¬"United States|Oregon|Newport"
"United States of America"¬"California"¬"Los Angeles"¬"Estados Unidos"¬" Los Ángeles"¬"United States of America|California|Los Angeles"
"United States"¬"New Jersey"¬"New Brunswick"¬"Estados Unidos"¬"New Brunswick"¬"United States|New Jersey|New Brunswick"
"United States"¬"Illinois"¬"Chicago area mostly, but also the US and Canada"¬"Estados Unidos"¬"Chicago"¬"United States|Illinois|Chicago area mostly, but also the US and Canada"
"USA"¬"Washington"¬"Spokane"¬"Estados Unidos"¬"Spokane"¬"USA|Washington|Spokane"
"US"¬"North Carolina"¬"Durham"¬"Estados Unidos"¬"Durham"¬"US|North Carolina|Durham"
"US"¬"Pennsylvania"¬"Philadelphia"¬"Estados Unidos"¬" Filadelfia"¬"US|Pennsylvania|Philadelphia"
"USA"¬"Massachusetts"¬"Greater Boston area"¬"Estados Unidos"¬"No determinada"¬"USA|Massachusetts|Greater Boston area"
"United States"¬"Illinois"¬"Chicago (remote) "¬"Estados Unidos"¬"Chicago"¬"United States|Illinois|Chicago (remote) "
"US"¬"South Dakota"¬"Rapid City"¬"Estados Unidos"¬"Rapid City"¬"US|South Dakota|Rapid City"
"USA"¬"Illinois"¬"Mount Prospect"¬"Estados Unidos"¬"Mount Prospect"¬"USA|Illinois|Mount Prospect"
"USA"¬"West Virginia"¬"Huntington (remote, HQ is in Charleston)"¬"Estados Unidos"¬"Huntington"¬"USA|West Virginia|Huntington (remote, HQ is in Charleston)"
"USA"¬"Minnesota"¬"St. Paul"¬"Estados Unidos"¬"St. Paul"¬"USA|Minnesota|St. Paul"
"Germany"¬¬"Düsseldorf"¬"Alemania"¬"Düsseldorf"¬"Germany||Düsseldorf"
"US"¬"Tennessee"¬"Remote"¬"Estados Unidos"¬"No determinada"¬"US|Tennessee|Remote"
"USA"¬"Minnesota"¬"Minneapolis"¬"Estados Unidos"¬" Minneapolis"¬"USA|Minnesota|Minneapolis"
"US"¬"North Carolina"¬"Charlotte "¬"Estados Unidos"¬" Charlotte"¬"US|North Carolina|Charlotte "
"United States"¬"Arizona"¬"Flagstaff"¬"Estados Unidos"¬"Flagstaff"¬"United States|Arizona|Flagstaff"
"USA"¬¬"Philadelphia"¬"Estados Unidos"¬" Filadelfia"¬"USA||Philadelphia"
"United States"¬"Illinois"¬"Carlinville"¬"Estados Unidos"¬"Carlinville"¬"United States|Illinois|Carlinville"
"USA"¬"Minnesota"¬"Chaska"¬"Estados Unidos"¬"Chaska"¬"USA|Minnesota|Chaska"
"USA"¬¬"Omaha, NE"¬"Estados Unidos"¬"Omaha"¬"USA||Omaha, NE"
"United States"¬"California"¬"Sacramento"¬"Estados Unidos"¬"Sacramento"¬"United States|California|Sacramento"
"USA"¬"Massachusetts"¬"Western Mass"¬"Estados Unidos"¬"Western Mass"¬"USA|Massachusetts|Western Mass"
"USA"¬"New York"¬"New York "¬"Estados Unidos"¬" Nueva York"¬"USA|New York|New York "
"United States"¬"Illinois"¬"Joliet"¬"Estados Unidos"¬"Joliet"¬"United States|Illinois|Joliet"
"USA"¬"California"¬"Shingle Springs"¬"Estados Unidos"¬"Shingle Springs"¬"USA|California|Shingle Springs"
"US"¬"Florida"¬"Plant City"¬"Estados Unidos"¬"Plant City"¬"US|Florida|Plant City"
"United States"¬"New York"¬"NYC"¬"Estados Unidos"¬"Nueva York"¬"United States|New York|NYC"
"USA"¬"Illinois"¬"Lisle"¬"Estados Unidos"¬"Lisle"¬"USA|Illinois|Lisle"
"US"¬"Texas"¬"Dallas"¬"Estados Unidos"¬" Dallas"¬"US|Texas|Dallas"
"United States"¬"Massachusetts"¬"Salem"¬"Estados Unidos"¬"Salem"¬"United States|Massachusetts|Salem"
"USA"¬"Wisconsin"¬"Platteville"¬"Estados Unidos"¬"Platteville"¬"USA|Wisconsin|Platteville"
"United Kingdom "¬¬"Remote (live in Nottingham)"¬"Reino Unido"¬"No determinada"¬"United Kingdom ||Remote (live in Nottingham)"
"United States"¬"Maryland"¬"Suitland"¬"Estados Unidos"¬"Suitland"¬"United States|Maryland|Suitland"
"U.S."¬"Maryland"¬"Suitland"¬"Estados Unidos"¬"Suitland"¬"U.S.|Maryland|Suitland"
"UK "¬¬"London"¬"Reino Unido"¬" Londres"¬"UK ||London"
"USA"¬"Maryland"¬"Rockville"¬"Estados Unidos"¬"Rockville"¬"USA|Maryland|Rockville"
"Canada"¬¬"Winnipeg"¬"Canadá"¬"Winnipeg"¬"Canada||Winnipeg"
